arc,Arc#0011,0,34,1,0,0,0,0,731.0,false,4,12,,0,731.0,-1,731.0,-1,12,102,745.0,151045865165815808,875
breadboy,breadboy 2020#2855,0,2,0,0,0,0,0,-10,false,15,1,,0,-15,-1,-10,-1,0,0,-1,771838716825829406,401
,Clankeh#2412,0,0,0,0,0,0,0,-10,false,0,0,,0,-15,-1,-10,-1,0,0,-1,460422738864111627,0
,CyMonstahh#9032,0,8,0,0,0,0,0,-10,false,11,0,,0,-15,-1,-10,-1,0,0,-1,218509588415250432,59
hoody,hoody#9652,0,94,0,0,0,0,0,836.0,false,6,19,,0,837.0,-1,910.0,-1,23,203,961.0,270999212215238657,19634969
smu,Smu#0265,5,5,0,0,0,0,2,847.0,false,5,3,,0,837.0,-1,847.0,-1,5,5,860.0,279473071834923010,15
,Tuks#8881,0,1,0,0,0,0,0,-10,false,6,0,,0,779.0,-1,780.0,-1,2,3,856.0,232218878787321857,264
Bryan,Br98746#4836,0,3,0,0,0,0,0,-10,false,11,1,,0,-15,-1,-10,-1,0,1,-1,266689967705686017,79
,Icebear#0081,0,0,0,0,0,0,0,-10,false,12,1,,0,-15,-1,-10,-1,0,18,-1,648828145159503903,25
,Locke#0089,0,0,0,0,0,0,0,-10,false,0,0,,0,-15,-1,-10,-1,0,0,-1,484565516200181810,0
,KDawg#0382,0,0,0,0,0,0,0,-10,false,0,0,,0,-15,-1,-10,-1,0,0,-1,515982860448956416,0
,Birb#8792,0,0,0,0,0,0,0,-10,false,0,0,,0,-15,-1,-10,-1,0,0,-1,409024731442970634,0
,Halo#0295,0,0,0,0,0,0,0,-10,false,0,0,,0,-15,-1,-10,-1,0,0,-1,303599368018067458,0
ben,10neb01#4488,0,8,0,0,0,0,1,-10,false,1,2,,0,-15,-1,-10,-1,0,4,-1,364590637993033731,195
,10neb02#7259,0,0,0,0,0,0,0,-10,false,0,0,,0,-15,-1,-10,-1,0,0,-1,711396658776113182,0
Blake,Blake | 10497#0510,0,7,1,1,5,0,0,845.0,false,13,19,,0,845.0,-1,845.0,-1,12,96,845.0,337292984443863042,7543421
spood,spooder#5349,0,16,1,0,0,0,0,-10,false,9,2,,0,-15,-1,-10,-1,0,5,-1,149324088152686592,635
,Egg#9475,0,0,0,0,0,0,0,-10,false,0,0,,0,-15,-1,-10,-1,0,0,-1,465239773628334080,0
,-Satan-#0016,0,0,0,0,0,0,0,-10,false,0,0,0,,0,-15,-1,0.0,0,0,-1,751104343716921405,0
